geo_fips,statefips,countyfips,tractfips,blockgroupfips,totalpopest2015_19acs,yearofstartdate,underage1popest2015_19acs,age0to17popest2015_19acs,unique0to17withed_visit,unique0to17withed_visitper100,numbered_visitsage0to17,ed_visitsper100age0to17,numberlowacuityed_visitsage0to17,lowacuityed_visitsper100age0to17,numberasthmarelateded_visits,asthmarelateded_visitsper100age0to17,numbered_visitsbychildrenunder1yearold,numberofinjuryrelatedvisits,injuryrelatededvisitsper100age0to17,numberacuterespiratorytractinfectionrelateded_visitsage0to17,acuterespiratorytractinfectionrelateded_visitsper100age0to17
42003305002,42,3,30500,2,840,2016.0,9.8,178,122.0,68.5,233.0,130.9,82.0,46.1,83.0,46.6,20.0,3.0,1.7,40.0,22.5
42003305002,42,3,30500,2,840,2017.0,9.8,178,127.0,71.3,232.0,130.3,106.0,59.6,81.0,45.5,36.0,1.0,0.6,40.0,22.5
42003305002,42,3,30500,2,840,2019.0,9.8,178,107.0,60.1,214.0,120.2,109.0,61.2,54.0,30.3,27.0,5.0,2.8,43.0,24.2
42003402001,42,3,40200,1,692,2016.0,6.6,59,35.0,59.3,80.0,135.6,37.0,62.7,25.0,42.4,8.0,2.0,3.4,15.0,25.4
42003402001,42,3,40200,1,692,2017.0,6.6,59,30.0,50.8,61.0,103.4,19.0,32.2,25.0,42.4,3.0,1.0,1.7,5.0,8.5
42003402001,42,3,40200,1,692,2018.0,6.6,59,38.0,64.4,81.0,137.3,30.0,50.8,32.0,54.2,20.0,2.0,3.4,20.0,33.9
42003402001,42,3,40200,1,692,2019.0,6.6,59,29.0,49.2,65.0,110.2,32.0,54.2,23.0,39.0,15.0,2.0,3.4,18.0,30.5
42003409001,42,3,40900,1,1233,2017.0,2.8,14,17.0,121.4,25.0,178.6,11.0,78.6,9.0,64.3,4.0,1.0,7.1,7.0,50.0
42003409002,42,3,40900,2,1579,2019.0,16.0,220,15.0,6.8,23.0,10.5,18.0,8.2,1.0,0.5,5.0,1.0,0.5,2.0,0.9
42003501001,42,3,50100,1,513,2016.0,2.4,63,44.0,69.8,92.0,146.0,45.0,71.4,24.0,38.1,7.0,2.0,3.2,11.0,17.5
42003501002,42,3,50100,2,242,2016.0,0.0,27,44.0,163.0,106.0,392.6,45.0,166.7,24.0,88.9,12.0,4.0,14.8,17.0,63.0
42003501002,42,3,50100,2,242,2018.0,0.0,27,43.0,159.3,93.0,344.4,55.0,203.7,29.0,107.4,18.0,6.0,22.2,16.0,59.3
42003501002,42,3,50100,2,242,2019.0,0.0,27,53.0,196.3,95.0,351.9,58.0,214.8,28.0,103.7,10.0,1.0,3.7,19.0,70.4
42003501003,42,3,50100,3,990,2016.0,27.6,246,159.0,64.6,297.0,120.7,149.0,60.6,63.0,25.6,47.0,2.0,0.8,59.0,24.0
42003501003,42,3,50100,3,990,2017.0,27.6,246,150.0,61.0,260.0,105.7,121.0,49.2,59.0,24.0,39.0,2.0,0.8,44.0,17.9
42003501003,42,3,50100,3,990,2018.0,27.6,246,145.0,58.9,280.0,113.8,164.0,66.7,59.0,24.0,25.0,1.0,0.4,63.0,25.6
42003501003,42,3,50100,3,990,2019.0,27.6,246,141.0,57.3,268.0,108.9,143.0,58.1,53.0,21.5,18.0,2.0,0.8,31.0,12.6
42003506002,42,3,50600,2,271,2017.0,2.8,28,36.0,128.6,59.0,210.7,28.0,100.0,17.0,60.7,10.0,1.0,3.6,17.0,60.7
42003506002,42,3,50600,2,271,2018.0,2.8,28,47.0,167.9,70.0,250.0,46.0,164.3,12.0,42.9,10.0,1.0,3.6,7.0,25.0
42003506002,42,3,50600,2,271,2019.0,2.8,28,31.0,110.7,41.0,146.4,22.0,78.6,8.0,28.6,3.0,1.0,3.6,8.0,28.6
42003506003,42,3,50600,3,818,2016.0,11.2,64,34.0,53.1,63.0,98.4,31.0,48.4,9.0,14.1,12.0,2.0,3.1,15.0,23.4
42003506003,42,3,50600,3,818,2017.0,11.2,64,29.0,45.3,49.0,76.6,24.0,37.5,7.0,10.9,8.0,1.0,1.6,7.0,10.9
42003506003,42,3,50600,3,818,2019.0,11.2,64,39.0,60.9,63.0,98.4,32.0,50.0,13.0,20.3,14.0,1.0,1.6,13.0,20.3
42003509001,42,3,50900,1,1348,2016.0,18.2,339,176.0,51.9,365.0,107.7,156.0,46.0,101.0,29.8,57.0,3.0,0.9,57.0,16.8
42003509001,42,3,50900,1,1348,2017.0,18.2,339,170.0,50.1,317.0,93.5,150.0,44.2,79.0,23.3,65.0,9.0,2.7,71.0,20.9
42003509001,42,3,50900,1,1348,2018.0,18.2,339,180.0,53.1,372.0,109.7,214.0,63.1,94.0,27.7,77.0,3.0,0.9,75.0,22.1
42003509001,42,3,50900,1,1348,2019.0,18.2,339,183.0,54.0,372.0,109.7,227.0,67.0,93.0,27.4,53.0,4.0,1.2,73.0,21.5
42003510001,42,3,51000,1,867,2016.0,1.8,108,92.0,85.2,192.0,177.8,77.0,71.3,70.0,64.8,18.0,1.0,0.9,37.0,34.3
42003510001,42,3,51000,1,867,2017.0,1.8,108,94.0,87.0,162.0,150.0,82.0,75.9,39.0,36.1,19.0,2.0,1.9,32.0,29.6
42003510001,42,3,51000,1,867,2018.0,1.8,108,91.0,84.3,151.0,139.8,86.0,79.6,40.0,37.0,9.0,2.0,1.9,26.0,24.1
42003510001,42,3,51000,1,867,2019.0,1.8,108,92.0,85.2,155.0,143.5,79.0,73.1,37.0,34.3,17.0,2.0,1.9,26.0,24.1
42003510002,42,3,51000,2,1263,2018.0,2.6,53,28.0,52.8,53.0,100.0,16.0,30.2,12.0,22.6,19.0,2.0,3.8,14.0,26.4
42003511001,42,3,51100,1,402,2016.0,29.4,268,56.0,20.9,122.0,45.5,55.0,20.5,52.0,19.4,25.0,2.0,0.7,27.0,10.1
42003511001,42,3,51100,1,402,2019.0,29.4,268,56.0,20.9,129.0,48.1,62.0,23.1,41.0,15.3,17.0,3.0,1.1,23.0,8.6
42003603001,42,3,60300,1,1134,2017.0,5.6,70,34.0,48.6,48.0,68.6,34.0,48.6,6.0,8.6,3.0,2.0,2.9,8.0,11.4
42003603001,42,3,60300,1,1134,2018.0,5.6,70,40.0,57.1,67.0,95.7,49.0,70.0,12.0,17.1,18.0,2.0,2.9,9.0,12.9
42003603002,42,3,60300,2,1092,2017.0,10.2,51,24.0,47.1,45.0,88.2,19.0,37.3,5.0,9.8,3.0,2.0,3.9,2.0,3.9
42003605001,42,3,60500,1,681,2017.0,6.2,110,18.0,16.4,32.0,29.1,12.0,10.9,7.0,6.4,12.0,1.0,0.9,9.0,8.2
42003605001,42,3,60500,1,681,2018.0,6.2,110,17.0,15.5,26.0,23.6,22.0,20.0,7.0,6.4,4.0,1.0,0.9,5.0,4.5
42003605002,42,3,60500,2,563,2019.0,1.0,49,17.0,34.7,26.0,53.1,18.0,36.7,4.0,8.2,2.0,1.0,2.0,3.0,6.1
42003705001,42,3,70500,1,1374,2018.0,3.0,83,19.0,22.9,21.0,25.3,9.0,10.8,5.0,6.0,3.0,1.0,1.2,4.0,4.8
42003708001,42,3,70800,1,1304,2018.0,11.0,63,17.0,27.0,19.0,30.2,10.0,15.9,4.0,6.3,2.0,1.0,1.6,2.0,3.2
42003708002,42,3,70800,2,1262,2016.0,8.8,78,21.0,26.9,34.0,43.6,16.0,20.5,8.0,10.3,7.0,1.0,1.3,5.0,6.4
42003708002,42,3,70800,2,1262,2018.0,8.8,78,24.0,30.8,36.0,46.2,23.0,29.5,8.0,10.3,9.0,3.0,3.8,4.0,5.1
42003709002,42,3,70900,2,783,2017.0,0.0,34,15.0,44.1,20.0,58.8,9.0,26.5,1.0,2.9,2.0,1.0,2.9,2.0,5.9
42003709003,42,3,70900,3,801,2016.0,5.2,80,7.0,8.8,8.0,10.0,2.0,2.5,1.0,1.3,1.0,1.0,1.3,1.0,1.3
42003709004,42,3,70900,4,854,2016.0,7.0,35,24.0,68.6,46.0,131.4,16.0,45.7,3.0,8.6,14.0,2.0,5.7,6.0,17.1
42003709004,42,3,70900,4,854,2017.0,7.0,35,25.0,71.4,37.0,105.7,7.0,20.0,3.0,8.6,15.0,1.0,2.9,3.0,8.6
42003709004,42,3,70900,4,854,2018.0,7.0,35,25.0,71.4,45.0,128.6,26.0,74.3,1.0,2.9,11.0,1.0,2.9,6.0,17.1
42003709004,42,3,70900,4,854,2019.0,7.0,35,24.0,68.6,40.0,114.3,16.0,45.7,2.0,5.7,8.0,1.0,2.9,8.0,22.9
42003802001,42,3,80200,1,1093,2016.0,1.8,50,13.0,26.0,19.0,38.0,11.0,22.0,7.0,14.0,2.0,1.0,2.0,4.0,8.0
42003802001,42,3,80200,1,1093,2019.0,1.8,50,17.0,34.0,27.0,54.0,14.0,28.0,4.0,8.0,5.0,1.0,2.0,3.0,6.0
42003804002,42,3,80400,2,815,2019.0,2.2,31,10.0,32.3,13.0,41.9,7.0,22.6,3.0,9.7,3.0,1.0,3.2,1.0,3.2
42003806001,42,3,80600,1,1355,2016.0,20.4,168,33.0,19.6,54.0,32.1,18.0,10.7,7.0,4.2,2.0,1.0,0.6,8.0,4.8
42003807001,42,3,80700,1,871,2016.0,9.0,112,21.0,18.8,25.0,22.3,14.0,12.5,2.0,1.8,4.0,1.0,0.9,4.0,3.6
42003809001,42,3,80900,1,997,2017.0,8.8,94,17.0,18.1,25.0,26.6,14.0,14.9,7.0,7.4,4.0,1.0,1.1,7.0,7.4
42003809001,42,3,80900,1,997,2018.0,8.8,94,16.0,17.0,29.0,30.9,22.0,23.4,2.0,2.1,8.0,2.0,2.1,7.0,7.4
42003809002,42,3,80900,2,914,2018.0,5.8,58,19.0,32.8,31.0,53.4,17.0,29.3,13.0,22.4,8.0,1.0,1.7,9.0,15.5
42003901001,42,3,90100,1,1377,2018.0,0.8,62,21.0,33.9,34.0,54.8,18.0,29.0,7.0,11.3,1.0,1.0,1.6,1.0,1.6
42003901001,42,3,90100,1,1377,2019.0,0.8,62,22.0,35.5,34.0,54.8,20.0,32.3,9.0,14.5,12.0,2.0,3.2,3.0,4.8
